Vessel_Name,MMSI_List
AAL DUBAI           ,[255915734]
AURELIE,[227195140]
CHRISTIANNA,[636020445]
WIDOR,[304027000]
AQUA TRANSPORTER,[259605000]
LESLIE ANNE,[232002848]
ELISE,[305170000]
BRO ANNA,[564066000]
KOMMANDOR IONA,[235003070]
FLYING DUTCHMAN,"[246277000, 244250731]"
ESVAGT CARINA,[219010516]
GUIDING LIGHT H90,[232013783]
TORC,"[248409000, 232060251]"
CMA CGM COLUMBA,[215249000]
MARLIN HERA,[538009473]
FUAT SEZGIN,[538010594]
LAURENCE KNIGHT,[258017940]
COMET CLIPPER,[232022992]
EVER APEX,[563155500]
BIZET,[256899000]
INTERLINK FORTUITY,[538005697]
WHITHAVEN,[235084022]
VON FEEDER,[231902000]
GALATEA,[235054097]
GLEN SANNOX,[232049068]
ECO TRINITY,[255915602]
LADY DILETTA,[269057719]
AKRISIOS,[241932000]
ARKLOW MUSE,[250002821]
BBC RUBY,[305908000]
ZHONG REN 121,[413336320]
AVALON TAPESTRY II,[269057507]
ESVAGT SIGMA,[220192000]
M/V EIDHOLM,[258293000]
SEASPAN FALCON,[477154200]
SWS ENDURANCE,[232020313]
CORYSTES,[233558000]
PRISMA,[538010700]
AQUA STAR,[235100108]
SCHELDEMOND I,[244690020]
ABP MERLIN,[235086491]
KMS TEAN,[235109092]
SWISS SAPPHIRE,[269057270]
MINTAKA I,[370603000]
AIKATERINI,[255915922]
NEW EXPLORER,[636016450]
DELTA SPIRIT,[636018743]
INGENUITY,[232012248]
ON LIBERTY          ,[232037842]
SEACOR YANGTZE,[538007873]
YM SATURN,[256929000]
REM SUPPLIER,[209643000]
COTE DES DUNES,[227022800]
WESTPHALIE,[226001280]
ORANJEBORG,[246265000]
RDJ WAALSTROOM,[305916000]
AMALYRA,[269057292]
SB 33,[244870487]
NR PREDATOR,[232053207]
INCHCOLM,[232030827]
NEVAH,[620800043]
DAVID LIAM,[232009709]
RED FALCON,[235014365]
ANEMOS,[228439900]
SZCZECIN,[311055400]
VENTURA,[310562000]
LAURELINE,[248743000]
SAINT-MALO,[228457700]
CAMPERDOWN,[232053286]
SAR AIRCRAFT G-HMGI,[111232031]
SFL THELON,[538010172]
GERARDA JOHANNA,[244013484]
SOUTHAMPTON STAR,[311000776]
VALERIE,[244860000]
FUGRO SEEKER,[235102539]
HELENE MAERSK,[563096300]
PUTFORD PRIDE,[235051726]
CHEM STAR 1,[255805586]
SILVERWELL,[232059195]
SKY STR,[255915834]
GRAMPIAN DON,[235090064]
NORTH PROMISE,[235056391]
NORTHERN VICTORIA,[219753000]
WIGHT RYDER 2,[235069877]
WILSON BRAKE,[314701000]
WAVERLEY,[232001540]
SEYCHELLES PROGRESS,[664296000]
VALLE LUNA,[247434700]
BULKNES,[305425000]
NORTHERN STORM,[232033527]
EVER SMILE,[235010710]
CELANDINE,[249436000]
ANNABEL L,[356847000]
FV  BUDDING ROSE,[233661000]
WHITE ALLEGRA,[538010705]
SKUA,[232006107]
RED DIAMOND,[636014524]
TASSOS,[636022764]
MSC JOSSELINE,[636019206]
MARE,[314001093]
PRECISION,[249175000]
WHITCHAMPION,[235009956]
EUROCLYDON GY77,[232044597]
SERAPHINE,[229076000]
GLEANN MOR PILOT,[250000688]
PEAK ANFIELD,[304111000]
ZEUS,[304011025]
RUDOLF SCHULTE,[566179000]
NIKOLAY YEVGENOV,[311000631]
CRYSTAL RIVER FR 178,[232037338]
FIERY CROSS,[235067451]
RMS CUXHAVEN,[636092996]
OTELLO,[209217000]
MSC CHLOE,[255805855]
MINERVA ZEN,[241190000]
UK-124 LUUT SENIOR,[244921000]
NR RIVAL,[232056807]
BIG RISE,[636023274]
FS CRATHES,[210151000]
MARSEILLE MAERSK,[219854000]
FRANCESCA_TO 80,[232004057]
CARRAIG AONAIR,[250005899]
HARVESTER_PD98,[235064434]
GLYVURSNES,[231887000]
MYKINES,[231002000]
RIDENS,[228459600]
GLOVIS STELLA,[440257000]
IRAKLIS Z,[241870000]
VOS SEEKER,[235068568]
CAPE CITIUS,[210070000]
WILSON BAERL,[314605000]
GV SHALANNA BF843,[235002500]
V UNO,[256408000]
EDT PROTEA,[209255000]
CLAIRE MARIE BF101,[235001340]
MINERVA NOUNOU,[248884000]
RNLI LIFEBOAT 16-07,[235030385]
AMUESA,[255802640]
DELIA,[304011029]
AVA SOFIE,[235101516]
RONJA STAR,[259170000]
SVEN,[255804490]
KALLISTA HELEN,[232032780]
VB BENELUX,[232058017]
CHAUMINE,[249240000]
CS STANDARD,[566041000]
FEIJE,[235000164]
F/V MARANELLO,[250004229]
PELAGICA,[566222000]
AMADEUS AQUAMARIJN,[244870674]
AQUA RAY,[636022952]
ZARONA B58,[235087354]
FUGRO GALAXY,[311049200]
MALBEC LEGACY,[538006543]
MARTEN,[305057000]
GUILLAUMEDENORMANDIE,[228457600]
KATRE,[305666000]
NEPTUNE DYNAMIS,[215188000]
MADRE ANTONIA,[352003662]
SMACK,[227035360]
THISTLE,[232312911]
FAROMAR,[253377000]
GRAEMSAY,[235019173]
RNLI LIFEBOAT 16-06,[235030386]
BEAUTRADER,[246232000]
SEAEXPRESS,[229353000]
CITY OF WESTMINSTER,[232000790]
BG DIAMOND,[212637000]
SARA BORCHARD,[255805686]
MSC LAUSANNE VI,[636023801]
TARIFA,[309847000]
KERLI,[305468000]
SUMIRE LEADER,[636022335]
ANTEOS,[244120000]
ATLAS  WY170,[235001670]
PHOENIX CROSS,[235067452]
INDI,[255805951]
SUNNY MARK,[354717000]
RNLI LIFEBOAT 16 10,[235050566]
ELLA MAY,[235100517]
SD RELIABLE,[235070759]
COCKNEY SPARROW,[235055756]
FUGRO SYNERGY,[311019800]
IJVEER 64,[244060091]
SAKIZAYA HERO,[354909000]
TROUPER,[255805844]
MULTIMAR,[212575000]
RIVER TRADER,[636015670]
RUSLANA,[273450990]
RNLI LIFEBOAT 14-14,[232002370]
ICE CRYSTAL,[231815000]
SANTA ROSA,[219086000]
AURISSE,[226018370]
FAITHFUL STAR FR83,[235000270]
CS SOVEREIGN,[232892000]
CARGOKITE WINDORA,[235103265]
INTUITION,[232004729]
GEULPLUS,[244710523]
LORD OF THE HIGHLAND,[232027110]
RECOVER,[235022604]
GV<EVENING STAR,[235006716]
STAV POWER,[255916065]
FRAM PRINCE,[259230000]
BLUE BIRD,[215691000]
PRINCE MADOG,[235234000]
POWER,[249176000]
ESPRIT,"[269057320, 246794000]"
FS SCEPTRE,[235100795]
STEADFASTHOPE BF340,[232006883]
CMA CGM FIDELIO,[229808000]
WILSON  HUMBER,[314207000]
SCOT NAVIGATOR,[232008661]
PENTALINA,[235061705]
ST BRIDGET,[250216000]
BZN II,[244750243]
F/V LA ROSE DES VENT,[228939000]
CRAIGLEITH,[232015861]
GRAMPIAN DYNASTY,[235108128]
BARRINGTON ISLAND,[308701000]
SKANDI ICEMAN,[258738000]
SIDER MONICA,[255806133]
EVER MERCY,[563240100]
BRENTHOLMEN,[538005553]
ZENITH BF106,[232048187]
RNLI LIFEBOAT 13-01,[235091414]
MSC SUEZ,[355289000]
F/V G IMMACULEE,[228230900]
HERSTON LASS,[232004528]
ATTALOS,[215785000]
ARMADA 78 06,[563198900]
CORRIB FISHER,[232016768]
SKAGERN,[210548000]
INDIGO RAY,[636019176]
SWAN DIGNITY,[355797000]
SUPRA,[636019547]
ST JEAN BAPTISTE,[250003659]
SILVER SOCKEYE,[235056226]
ONEGO NEVA,[305375000]
WAKEFUL,[234912000]
FLUVIUS AXE,[314654000]
QUEST 2,[232004747]
STI POPLAR,[538005408]
MICHAEL EDWARD TO30,[232058648]
MASTERMAN,[235101329]
REBECCA FR143,[235117076]
LEONIE,[305242000]
ALJO,[244023942]
INA LEHMANN,[304585000]
SD TEMPEST,[235118697]
ASPHALT SPLENDOR,[538006655]
FV ERISPOE,[227142300]
LADY MATHILDE,[245197000]
DISCOVERY,[235096731]
MRC SEMIRAMIS,[249028000]
FEAR NOT II CN354,[235004420]
LEIRNA,[232003597]
BENABELL G,[305919000]
EEMSBORG,[245278000]
ABEILLE LIBERTE,[226265000]
WINDCAT 31,[235097407]
ENDURANCE,[305956000]
PALLIETER,[205393000]
CWIND TORNADO,[235114576]
CLAYMORE A,[235000081]
TRANS EMERALD,[248888000]
SVITZER LAURA,[235001135]
CSK VANGUARD        ,[563003300]
XIN YANG CAI FU,[413269000]
TS ROYALIST,[235107983]
SKY WISH,[255915821]
MONARCH COUNTESS,[211479640]
SILVER MOON,[353033000]
COMRADES LK308,[235001810]
LANSIO2,[232044675]
SVITZER WATWICK,[235063854]
FLUVIUS PLYM,[314656000]
MANILA MAERSK,[219038000]
CONFORMITY,[232035972]
CELEBRITY,[235106484]
HOLLYWOOD,[235055008]
RIX TANGO           ,[212797000]
MINERVA KARTERIA,[241574000]
QUEEN MARY 2,[310627000]
WILSON ELBE,[314423000]
COLORADO STAR,[248127000]
FT QUINTO,[215769000]
LNG ROSENROT,[538008979]
GRAMPIAN CORINTHIAN,[235079382]
LION I,[352005346]
HUNTER,[235118133]
NM COPENHAGEN,[255915970]
VB ENGLISHMAN,[235114458]
MARS 6,[352005360]
BOY ANDREW,"[232006167, 232004642]"
PURSUIT,[232051191]
M/T ZUGA,[229171000]
NOBLE INTREPID,[538010631]
FUGRO ZEPHYR,[311001552]
SIXTINE,[248742000]
DEVOTION.PD108,[235007080]
MSC NEDERLAND III,[355254000]
BEUKBORG,[245223000]
SOLVIK,[210515000]
SEAPIKE,[218292000]
EEMS RIVER,[246802000]
BARNES,[235085697]
PL ST CHRISTHOPHER,[235088423]
EVRIDIKI G,[636013898]
SHEN MI,[352004593]
ENERGY PASSION,[257416000]
MJM ENTERPRISE,[232054596]
Z.48DE MARIA ANTONIA,[205243000]
SYMPHONY TIDE,[257132000]
AUTOSTAR,[255801540]
MISJE FLORA,[257537000]
SHAKEDOG,[235093883]
SEACAT INTREPID,[235107284]
BW CATCHER,[355631000]
SOUTHAMPTON PATROL,[235073277]
HROSSEY,[235448000]
SL-9 JOHANNA,[244938000]
RNLI LIFEBOAT 14-21,[232002582]
XPLORER 18-01,[232051441]
FS AQUARIUS,[232025974]
MSC FABIENNE,[354415000]
DSB-02,[232039079]
NINA BRES,[304244000]
HUSKY,[235087309]
GOLDEN ORCHID,[636017490]
SCPS ANGELA,[235117193]
KAPELLEN,[205736000]
LOCH SEAFORTH,[235101635]
ARROW,[235096892]
OAKLAND EXPRESS,[636018703]
SHINWA-MARU,[432946000]
POINTE DE CAUX,[228437800]
HOPETOUN,[232002720]
TROY,[253678000]
ESVAGT DC 13,[219031338]
GNH CRUSADER,[232002350]
FV ST GEORGES PZ1053,[232005630]
MAINTAL,[255806439]
LADY HESTIA,[244110824]
ROTRA FUTURA,[245697000]
EVER ATOP,[563166100]
EVA GLOBAL,[352003121]
CROMARTY SENTINEL,[232039611]
SUECIA SEAWAYS,[220284000]
COTENTIN,[228263800]
GLOVIS SILVER,[440249000]
HMM ALGECIRAS,[440326000]
MSC STACEY,[636022722]
SAGITTARIUS LEADER,[431912000]
DORNBUSCH,[211234480]
COOLWATER,[245073000]
RAUL PRIMERO,[224103970]
S.B WILL,[235000922]
DATTILO  M,[247156500]
IMERA,[229561000]
F/V HARFANG,[228382900]
VALLE SOLE,[247434600]
MARINER SENTINEL,[235117963]
WILSON WAAL,[314262000]
MSC ATLANTIC III,[355249000]
MANOR ENTERPRISE,[235091722]
F/V ODETTE MARCEL,[228259000]
OPTIMIST,[235097629]
SD TAMAR RACER,[235061062]
HAV NORDIC,[231812000]
ISLE OF LEWIS,[232002521]
GHT MARINAS,[636024638]
MEHUIN,[636092682]
LAURIERBORG,[246924000]
JONNI RITSCHER,[636091136]
FWN SUN,[244770393]
UAL OSPREY,[255802350]
SHETLAND TRADER,[636023864]
SEATTLE C,[212276000]
PELICAN OF LONDON,[235057366]
SD TAMAR SPIRIT,[235061064]
KAREN ANN,[235103134]
BLUE 4,"[272896200, 316034372]"
BRISCA,[232005120]
SEACAT ENDEAVOUR,[235092252]
GRAMPIAN RANGER,[235477000]
STOCK BUILD 3,[232059073]
DENIS MURPHY,[250000207]
WILDCAT 7,[235097748]
ARKLOW GEM,[246706000]
MAERSK BAYETE,[477211100]
WHITONIA,[235040503]
PROTEUS REBECCA,[563162900]
VB YORKSHIREMAN,[235102971]
ILMA,[256343000]
GREEN QUEST,[235083117]
OCEAN VANTAGE,[351149000]
MFV DANIELLE,[232005400]
INCENTIVE II,[235003589]
MSC DAISY,[636020468]
ONE TRITON,[319219200]
KATHRYN MATHESON,[232021327]
MED BALTIC,[215194000]
RNLI LIFEBOAT 17-24,[232004399]
DEGU,[352005328]
ALICIA G,[255915608]
FRYDERYK CHOPIN,[261000290]
FOSSIL,[352004832]
LORD OF THE GLENS,[235000295]
KHK EMPRESS,[563073400]
CACHACHO,[224047640]
ECO ICE,[538007403]
FINN II,[304702000]
GALLIVANT,[235023353]
ROSTRUM SINGAPORE,[636093310]
SCOTT SPIRIT,[311027400]
SNP WIND,[314667000]
MATHILDE SCHULTE,[565376000]
LEONARDO DA VINCI,[247415300]
WILLPROSPECT,[235000825]
JY LAKE,[636019109]
ISLAND EXPLORER,"[235118101, 232040998]"
CAVALLI,[210113000]
BALTIC SPLIT,[255915585]
BOCHEM BUCEPHALAS,[477142400]
NORSIDE CYGNUS,[311000386]
VERTOM ANNE MARIT,[245184000]
F/V BERLEWEN,[235005980]
ACAMAR,[232016997]
ARMADA 86 01,[563245400]
NORDIC STAR,[319095100]
FEED ROGALAND,[257071710]
SARNIA CHERIE,[236401000]
VE CAPITAN MIRANDA,[770576100]
CLOVIS,[226003010]
WISBY ARGAN,[259746000]
KARLA C,[255806312]
SAORSA NA MARA,[235033134]
SVITZER SKY,[235069704]
EN AVANT 9,[244850515]
LILY ANNA BF371,[235082365]
STEFANIE M,[235112317]
BELYAMATO,[258026000]
HEIDE OLDENDORFF,[255805818]
VB ZEEBRUGGE,[232025841]
C-ODYSSEY,[235088132]
LONDON TITAN,[235103165]
JERH O'D,[250001143]
SD NEWHAVEN,[232002836]
SAPPHIRE OF LONDON,[232051929]
PARTHENON TS,[249948000]
SD BOUNTIFUL,[235072757]
STELLAR RIONI,[636021502]
YUAN HAI,[352005718]
PIRATE QUEEN,[250073000]
MSC JERSEY,[255805956]
ELSA ESSBERGER,[255805470]
SVITZER KENT,[235113125]
HELLIAR,[235087119]
SD IMPETUS,[232001490]
ALISON KAY,[235001420]
CRC GANNET,[232048624]
WILHELMSHAVEN EXPRES,[211151710]
ELENA L,[212702000]
VENTO,[255804240]
SONGA POLARIS,[256325000]
FRENCH WARSHIP VLC,[227800300]
FOUR TURANDOT,[248506000]
RNLI LIFEBOAT 17-05,[232002440]
PRIDE OF HULL,[311062900]
WEC VERMEER,[209177000]
SCPS ANDREA,[235117189]
SWS ESSEX,[235091146]
FURE SKAGEN,[231875000]
ENERGY PACE,[257511000]
MSC SORAYA,[370271000]
DIGNITY LEADER,[311002900]
CONTI CHIVALRY,[636093093]
SKOMER,[235034317]
ARKLOW VALOUR,[244020335]
MISJE LOTUS,[257835000]
NEWNEW STAR 2,[477909400]
MANNA,[249563000]
GENESIS HL1065,[235072635]
ERIKA SCHULTE,[563049000]
SEAWAYS TYBEE,[538006312]
MSC TERESA,[357891000]
FEDERAL FRONTIER,[538009425]
F/V MABRUNE,[227314180]
GRAMPIAN CONQUEST,[235010030]
RIPLEY PROSPERITY,[636021304]
ADRIANNE,[250001702]
MARANT,[205050000]
HST TENBY,[232053671]
MARIE MAERSK,[219018765]
LMZ TITAN           ,[538004090]
WINDCAT 30,[235096027]
WILSON DIRDAL,[255915955]
TORNADO CLIPPER,[235057012]
NACC AFRICAN,[352003075]
MOL PROFICIENCY,[538002961]
NJORD PIONER,[257930000]
FRIEDRICH RUSS,[255806511]
TOPAZ NEVA,[538007321]
WAVEWALKER 1,[244780105]
WILLSERVE,[235012119]
CELTIC CHALLENGER,[305271000]
ANMIRO,[305322000]
HOEGH YOKOHAMA,[257512000]
FEDERAL BALTIC,[538006278]
TARGE GUILLEMOT,[232059678]
MSC SPRING III,[636017239]
VOX ALEXIA,[245734000]
ELIMINATOR,[235115154]
NORTHERN VIKING,[235063795]
ELDA,[352005747]
AQUA TITAN,[620999999]
MINERVA JULIE,[240716000]
ONE RESILIENCE,[477965500]
HORIZON HIGHWAY,[353105000]
SCOTT PLATFORM,[232763000]
AURORA PROTECTOR,[257738000]
GMS ENDEAVOUR 6102,[370582000]
GYPSEY RACE,[232007074]
NORWEGIAN PRIMA,[311001059]
ASBJORN,[219029579]
COASTGUARD,"[111232537, 111232013]"
ARKLOW FIELD,[250002286]
IJVEER 54,[244750286]
OCEAN OBSERVER,[232217000]
ALSIA SWAN          ,[248359000]
SC JADE,[244103000]
ANGELA,[205772000]
EXCELLENCE ROYAL,[269057372]
PRESERVER,[235091157]
FAUSTINE,[229077000]
CHRISTINE,[235051179]
SCPS JOKER,[235117191]
KINGFISHER,[232004550]
REVELRY,[235055376]
MARAN DANAE,[241827000]
VB SANDON,[235074754]
OCEAN WAVE I,[352146000]
KMARIN RENOWN,[235108526]
HIGHLAND CHIEFTAIN,[235094269]
LONDINIUM 3,[235052039]
NJORD ZEPHYR,[232013231]
FAIRPLAY-32,[255915891]
UNDEN,[218041490]
CHEM MIA            ,[636019172]
ESVAGT DON,[219011717]
OCEAN ENDEAVOUR,"[233694000, 235008020]"
PHAROS,[233185000]
RNLI LIFEBOAT 14-28,[232003138]
CMA CGM MONZA,[249121000]
ARKLOW GRACE,[244635000]
CAPE AMIRA,[538007725]
MSC SINGAPORE IV,[636021761]
SHALDER,[232014036]
EUROPA,[215767000]
ISA,[244571000]
MSC SIXIN           ,[370711000]
PUTFORD AJAX,[232003328]
SPIRIT 2,[511101801]
GV BOUNTIFUL BF79,[235009220]
MFV ADMIRAL BLAKE,[232054132]
VOS TRACKER,[232019711]
MARY  A,[247373700]
RANGER,[209696000]
SEA SPRINTER,[250001051]
DSG ALEX ESCORT TUG,[250098000]
HONEY BADGER,[636025120]
FRIGG W,[209078000]
THOR OF SCAPA,[232031136]
VOS VALIANT,[235089032]
VIRTUOUS FR253,[232024879]
CALEDONIA III BCK35,[232014358]
CMA CGM SYDNEY,[229699000]
RADIANCE INS240,[232006740]
WILHELMINE,[249239000]
PL ST BRENDAN,[235078345]
VB SERVICEMAN,[232004530]
GRANDE ARGENTINA,[215949000]
RIX SAPPHIRE,[636023759]
SEACON ANTWERP,[636023994]
MARAN CONQUEROR,[241206000]
VELSERDIJK,[244865000]
ELANDRA SOUND,[636019297]
SNS086 AMDETOURVILLE,[227002970]
CORAL MONACTIS,[244870428]
STOLT REDSHANK,[235089046]
FOYLE,[215584000]
ARKLOW SPIRIT,[250002887]
FREJ,[304010515]
MFV EXCEL,[235001318]
STENA SUPERFAST VIII,[235089436]
PIONEER KNUTSEN,[259393000]
AURORA COOPER,[257632000]
DIXIE QUEEN,[235055123]
VOS HERA,[235107437]
LAPPLAND,[255806291]
MAARTJE THEADORA,[218066000]
THAMES HIGHWAY,[311996000]
ARKLOW BEACON,[244830098]
BG GREEN,[255804590]
DEE4 LARCH,[219409000]
DECATHLON,[538004487]
SVITZER ELEANOR,[232032044]
SVITZER CECILIA,[232003119]
WILSON LOVIISA,[314608000]
MERLIN,"[232053884, 538009709]"
RNLI LIFEBOAT 13-52,[232052719]
SPECTRUM 3,[235082698]
BRADAN AN EOLAIS,[232061271]
OFFSHORE SCOUT,[235001001]
RNLI LIFEBOAT 13-54,[232054391]
MSC JOANNA,[372050000]
LINDA,[230984000]
ERRINGTON,[232042335]
LOUISA BOLTEN,[538008683]
BERNHARD,[304978000]
EEMS SOLAR,[246367000]
NEPTUNE PHOS,[241909000]
RED NOVA            ,[636019391]
WINTER OF LADRAM,[232043227]
IRMGARD,[636023986]
RNLI LIFEBOAT 16 04,[235030388]
RUSADER,[351053000]
WYLDE SWAN,[244074000]
MINKA C,[235061954]
WIGHT SKY,[235064783]
CEDERBORG,[246782000]
IONA,[310857000]
SVITZER LINDSWAY,[235066014]
SMB-03,[232046309]
TRANSUND,[636022504]
SAOIRSE NA MARA,[250005313]
SFL HAWAII,[636021040]
VEGA,[232011338]
TEMPEST,[244285000]
GRAMPIAN DEFIANCE,[235094286]
UNISCOUT,[305366000]
ATHENIA,[235088194]
4-WINDS,[245410000]
AMADEUS SMARAGD,[244967000]
SEA VOYAGER,[538003439]
FLOTTA LASS,[235058922]
LONGSTONE,[246091000]
LAGARFOSS,[231789000]
LADY HARRIET,[244020808]
RNLI LIFEBOAT 17-22,[232003142]
EDZARD CIRKSENA,[305181000]
COCODY,[228065120]
MILLENIUM OF LONDON,[235052131]
NORTH STAR,[235826000]
CHLOE MAY,[235032464]
WILSON LEER,[314552000]
MAGISTER,[226004180]
VB DOLPHIN,[232051787]
LIGHTNING REFLEX,[235075534]
CHAMBON BORA,[227017200]
PURUS CHINOOK,[232055578]
HARBOUR FIRST,[255804570]
ALAND               ,[249581000]
MONTCALM,[227056790]
RNLI LIFEBOAT 16-03,[235030389]
FAST SIM,[205011000]
PILOT VESSEL GALLANT,[235000795]
VICTOR HORTA,[205604000]
RAY BETA,[235899931]
ARC EN CIEL,[205250990]
AVE MARIA II,[250003797]
AMELIE G,[232007852]
CONQUESTOR,[235055062]
PORTAFERRY II,[235003307]
FORTH CHEETAH,[232059248]
CMA CGM TIGA,[249400000]
