Vessel_Name,MMSI_List,Destination_List
GRAMPIAN CONTENDER,[235010520],['SHEARWATER']
LUCIA B,[255806171],['ESSDR']
COE MIEKE,[352001928],['MLRTM']
GOLDEN STAR,[235053512],['']
ISLE OF CUMBRAE,[232003244],['LARGS - CUMBRAE']
WAVEDANCER,[235109107],['']
ACCORD_BCK_262,[235081732],['']
AAL GIBRALTAR,[212314000],['VNPHU - DKEBJ']
SVITZER MONARCH,[232007487],['SHEERNESS']
GRAMPIAN FORTRESS,[235113405],['MORECAMBE GAS FIELD']
SD DEBORAH,[235074296],['PLYMOUTH']
M006,[232061884],['']
ENTERPRISE 1,[250310000],['MOORED']
FS BALMORAL,[232007020],['HEA HYDRA']
KMARIN RESOLUTION,[235108531],['MALTA']
MSC LYON,[636024507],['NLRTM']
REM ARCTIC,[257982000],['GRANE']
OSLO WAVE 3,[257113350],['EGALY']
WL PALEKH,[477871100],['GB LIV']
VIKING VELA,[257526000],['LERWICK']
PROGRESS,"[235108388, 249177000, 246303000]","['ESSDR', 'THAMES', 'GBWPT']"
ICENI LEGEND,[232007977],['GABBARD WINDFARM']
MARS CLIPPER,[232053783],['LONDON']
SWORD,[311000765],['GBHPT>DEBRB']
STOLT JAEGER,[235112981],['NLRTM']
PRIDE OF THE TYNE,[235078159],['']
EGS ECHO,[235017585],['H/POOL']
ESVAGT CARPATHIA,[219009417],['ESBJERG']
PILOT BOAT HIBERNIA,[232052825],['']
GRAMPIAN TEES,[232050438],['DOGGER BANK B OWF']
STEN BOTHNIA,[255915981],['GB CLY']
SAVONETTA SUN,[352001671],['US GSM']
STOLT OSPREY,[235112065],['SLUISKIL']
HAVEN HORNBILL,[235005298],['HARWICH']
CMA CGM ST. LAURENT,[228369800],['NLRTM']
RNLI LIFEBOAT 13-22,[235113728],['BRIDLINGTON SAR']
GRANDE BENIN,[247275400],['SNDKR>BEANR']
SOLITAS-H,[210290000],['SENOT']
ARKLOW SPRAY,[250002903],['BEANR']
HTM DEFENDER,[236747000],['NLRTM']
FORTH KING,[232020157],['']
RNLI LIFEBOAT 12-20,[232002280],['SAR OPS']
NEPTUNE CLIPPER,[235112742],['LONDON']
MSC PAMELA,[371228000],['MUPLU']
ALLORA,[305844000],['NLDOR']
L.E SAMUEL BECKETT,[250002868],['0']
CONNEMARA LADY,[250178000],['KILARY FJORD CH10']
NAVIGATOR EUROPA,[636016397],['USNDX->NORAF']
ARKLOW BANK,[244810323],['ESSVQ']
IVER AMBITION,[255984000],['TRISK']
ENDERPEARL,[257029840],['WEYMOUTH']
F/V PAX DEI II,[228426900],['']
BOSPHORE,[226007020],['QGCM']
STI ROSE,[538006037],['MONGSTAD']
TWILIGHT PZ330,[235002810],['NEWLYN']
NORTH SEA GIANT,[259362000],['BEATRICE FIELD UK']
ORCA,[232045501],['PLYMOUTH']
OCEAN BOUNTY PD182,[232328000],['']
SVITZER MUSSELWICK,[235063852],['MILFORD HAVEN']
TWIN STAR,[235053178],['LONDON']
STENA TRANSPORTER,[246762000],['NL ROTTERDAM']
CHLOE OF LADRAM,[232004700],['']
WINDCAT 45,[232024430],['NHV-ROWF-NHV']
LADY RUBINA,[352003204],['GBLIV']
RNLI LIFEBOAT 13-51,[232051614],['SAR OPERATIONS']
ICENI VALOUR,[232033047],['MOSTYN>GYM>MOSTYN']
SVITZER ESTELLE,[232052057],['MEDW/THAMES']
CARIBBEAN VOYAGER,[311000864],['NL VLI>CA CBC']
WILSON DUNDALK,[255915954],['NLAMS']
GEOSURVEYOR XXII,[235074917],['GRIMBSBY']
SCHELDEGRACHT,[244730000],['FOR ORDERS']
VUOKSI MAERSK,[219133000],['GBLGP - NLRTM']
F/V GROS MINET,[228206000],['']
ISLAND CHIEFTAIN,[257236000],['ABERDEEN']
STRIL ODIN,[258427000],['ABERDEEN']
TINNO,[257937000],['ESHUV']
ORALYNN,[219030184],['SEBR0']
SAFEEN BARONESS,[538010321],['RUNVS>GBFAW']
BLUE TERN,[215644000],['BEATRICE OWF']
GARDO,[235114493],['BERWICK']
CORNELIS GERT JAN,[235004140],['FISHING GROUNDS']
DE SELENE,[244750775],['AMSTERDAM']
FWN SPIRIT,[244140321],['GLASGOW']
GERRY O SULLIVAN,[250108440],['']
FILLA,[235009928],['SKERRIES FERRY ON-16']
KINGDOM OF FIFE,[235066953],['SOFIA OWF']
COLOMBIAN STAR,[636014240],['CIABJ']
NORSKY,[230652000],['BEZEE']
SEVEN SISTERS,[228244700],['DIEPPE <-> NEWHAVEN']
EEMS RANGER,[246090000],['NLSVG']
SWAN PACIFIC,[319104700],['TRYAL']
ESVAGT CHASTINE,[219669000],['NINIAN']
ASH ADRIATIC,[538009698],['ES SDR              ']
PROTECTOR,[235040606],['THAMES']
FEDERAL CEDAR,[538006473],['GBTIL']
SKANDI BARRA,[257679000],['ABERDEEN']
IRISH CG,[111250053],['']
TORMORE,[250029000],['CI><KILLYBEGS']
KELLY C,[255806314],['GB HUL']
TOPAZ DANUBE,[538007332],['ESCAD']
LEGACY,[620999818],['FOR ORDERS']
CHEM HOUSTON,[636016360],['GRASS']
BALMORAL,[308785000],['FR BOD']
BF HURRICANE,[235118075],['RAMSGATE']
SMIT FROME          ,[235007561],['']
BENRIACH,[563218400],['TEESPORT']
BERGE TRIGLAV,[636019093],['CA PCA']
ROSE OF LORNE,[232004772],['GLENSANDA']
LAUNKALNE,[210388000],['ESPAS']
FAIRCHEM PRESTIGE,[538011231],['MXCOA']
MILLENNIUM DIAMOND,[235092958],['LONDON']
TOPEKA,[229409000],['NOUADHIBO']
NABUCCO,[209219000],['GBSED']
SWAN ATLANTIC,[319113500],['ROUEN']
TINA C,[235061987],['GBSOU']
JEWEL OF LONDON,[235054922],['LONDON']
ENFORCER,[244597000],['NLRTM']
SVITZER MERIDIAN,[232018799],['SHEERNESS']
F/V PERSEVERANCE 2,[228399700],['A LA MER']
RONJA CHALLENGER,[258085000],['MALLAIG']
TROMS LYRA,[235110776],['ABERDEEN']
APL GWANGYANG,[566319000],['DEHAM-BEANR']
COSCO SHIPPING VIRGO,[477166500],['NLRTM']
BOURDA,[636025005],['YANBU']
JOHANNES MAERSK,[219982000],['MTJMW']
DUN AN OIR II,[250182000],['DUN LAOGHAIRE']
ALBA NA MARA,[235059857],['FRASERBURGH']
PREGOL HAV,[305966000],['NLRTM']
CATHARINA OF LADRAM,[235054653],['BRIXHAM']
VERONICA D,[235008011],['HINKLEY POINT']
GPO AMETHYST,[538007705],['USNYC OFFSHORE']
ST DAVIDS,[235116077],['MILFORD HAVEN']
ALMA,[212856000],['NO HSO']
MTS VALOUR,[235040596],['GB RMG']
CELEBRITY APEX,[215105000],['ESLCG']
SPARKLING STAR UL290,[232040790],['FISHING']
SVITZER LYNDHURST,[232002565],['GRANGEMOUTH']
CLEW BAY QUEEN,[250128460],['CLARE ISL><ROONAGH']
B2,[232854000],['']
FRAM PRINCE,[259230000],['CROMARTY FIRTH']
STAV POWER,[255916065],['IT RAN']
GV<EVENING STAR,[235006716],['']
BLUE BIRD,[215691000],['TO ORDER']
PRINCE MADOG,[235234000],['MENAI BRIDGE']
WILSON  HUMBER,[314207000],['GBSUN']
SCOT NAVIGATOR,[232008661],['NLRTM']
CMA CGM FIDELIO,[229808000],['BEANR']
ESPRIT,"[269057320, 246794000]","['ROUEN', 'ES LCG']"
FS SCEPTRE,[235100795],['ABD ANCHORAGE']
STEADFASTHOPE BF340,[232006883],['FISHING GROUNDS']
POWER,[249176000],['IEDUB']
SAKIZAYA HERO,[354909000],['NL RTM']
TROUPER,[255805844],['FRLEH']
FUGRO SYNERGY,[311019800],['OFFSHORE SITE']
ELLA MAY,[235100517],['FISH FARMS']
SD RELIABLE,[235070759],['CLYDE AREA']
COCKNEY SPARROW,[235055756],['LONDON']
ICE CRYSTAL,[231815000],['GBIMM - NOFRO']
RNLI LIFEBOAT 14-14,[232002370],['POOLE']
IJVEER 64,[244060091],['ADAM']
MULTIMAR,[212575000],['ARAG']
RIVER TRADER,[636015670],['FRCQF']
RUSLANA,[273450990],['RU LED']
CS SOVEREIGN,[232892000],['PORTLAND UK']
FAITHFUL STAR FR83,[235000270],['FRASERBURGH']
SANTA ROSA,[219086000],['GBSOU>>NLROT']
AURISSE,[226018370],['LE HAVRE']
RECOVER,[235022604],['TOSCA RUN']
GEULPLUS,[244710523],['NAAR DE KLANT :-D']
LORD OF THE HIGHLAND,[232027110],['CORPACH']
INTUITION,[232004729],['']
CARGOKITE WINDORA,[235103265],['LOWESTOFT']
INDIGO RAY,[636019176],['HOUSTON']
CORRIB FISHER,[232016768],['BE ERE']
ATTALOS,[215785000],['SKAGEN P/S']
ARMADA 78 06,[563198900],['GB BLY']
SKAGERN,[210548000],['KRISTINEHAMN']
ST JEAN BAPTISTE,[250003659],['FISHING_GROUNDS']
SILVER SOCKEYE,[235056226],['']
ONEGO NEVA,[305375000],['CAGAE']
WAKEFUL,[234912000],['FISHING']
SUPRA,[636019547],['GB BEL']
SWAN DIGNITY,[355797000],['ROTTARDEM']
FLUVIUS AXE,[314654000],['NANTES']
QUEST 2,[232004747],['PORTLAND']
STI POPLAR,[538005408],['FRLEH>>SEGVX']
MICHAEL EDWARD TO30,[232058648],['']
REBECCA FR143,[235117076],['']
MASTERMAN,[235101329],['BELFAST']
SKANDI ICEMAN,[258738000],['BERGEN']
CRAIGLEITH,[232015861],['GBFXT']
GRAMPIAN DYNASTY,[235108128],['PIPER SALTIRE TARTAN']
BARRINGTON ISLAND,[308701000],['GPPTP']
F/V LA ROSE DES VENT,[228939000],['']
PENTALINA,[235061705],['SMH GILLS']
ST BRIDGET,[250216000],['EI DLG DUB HWT']
BZN II,[244750243],['']
SIDER MONICA,[255806133],['ESGIJ']
EVER MERCY,[563240100],['LK CMB>BE ANR']
RNLI LIFEBOAT 13-01,[235091414],['POOLE TRAINING']
BRENTHOLMEN,[538005553],['NLRTM']
ZENITH BF106,[232048187],['FISHING']
HERSTON LASS,[232004528],['GBSFW']
F/V G IMMACULEE,[228230900],['']
MSC SUEZ,[355289000],['GBLGP']
TRANS EMERALD,[248888000],['LEHAVRE']
SVITZER LAURA,[235001135],['WORKING RIVER HUMBER']
CLAYMORE A,[235000081],['']
CWIND TORNADO,[235114576],['RAMSGATE']
TS ROYALIST,[235107983],['ABERDEEN']
SKY WISH,[255915821],['BEANT']
CSK VANGUARD        ,[563003300],['GBTEE>GBTTL         ']
XIN YANG CAI FU,[413269000],['EG ALY']
MONARCH COUNTESS,[211479640],['FRCECPAPMRBUAA103092']
COMRADES LK308,[235001810],['CH16 FOR INFO']
LANSIO2,[232044675],['FLATHOLM']
SILVER MOON,[353033000],['BEANR>>SNDKR']
FLUVIUS PLYM,[314656000],['NLEEM']
SVITZER WATWICK,[235063854],['GBMLF']
SD TEMPEST,[235118697],['PORTSMOUTH']
LADY MATHILDE,[245197000],['ESPAS']
INA LEHMANN,[304585000],['SEVST']
ASPHALT SPLENDOR,[538006655],['PTLEI']
FV ERISPOE,[227142300],['FISHING AREA']
LEONIE,[305242000],['GNCKY               ']
ALJO,[244023942],['TEDDINGTON LOCK']
MRC SEMIRAMIS,[249028000],['NLAMS']
FEAR NOT II CN354,[235004420],['CH16 &11']
LEIRNA,[232003597],['LERWICK']
DISCOVERY,[235096731],['LIVEPOOL']
EEMSBORG,[245278000],['ES LEI']
ABEILLE LIBERTE,[226265000],['FRENCH NAVY ORDER']
BENABELL G,[305919000],['BEANR']
PALLIETER,[205393000],['GBINV']
ENDURANCE,[305956000],['SEGOT']
WINDCAT 31,[235097407],['GRIMSBY/HGWINDFARM']
BOY ANDREW,"[232004642, 232006167]","['FISHING GROUNDS', 'CAMPBELTOWN']"
M/T ZUGA,[229171000],['ESBIO']
PURSUIT,[232051191],['EOW-TGT']
SIXTINE,[248742000],['NLRTM']
DEVOTION.PD108,[235007080],['PETERHEAD']
FUGRO ZEPHYR,[311001552],['BISKAY']
NOBLE INTREPID,[538010631],['ABERDEEN']
BEUKBORG,[245223000],['BAIE DE SEINE ANCH']
MSC NEDERLAND III,[355254000],['MACAS']
CONFORMITY,[232035972],['GBERI']
MANILA MAERSK,[219038000],['ESALG']
RIX TANGO           ,[212797000],['GBIPS               ']
MINERVA KARTERIA,[241574000],['INSIK']
FT QUINTO,[215769000],['FRAJA']
HOLLYWOOD,[235055008],['']
WILSON ELBE,[314423000],['GB BEL']
CELEBRITY,[235106484],['FRURO']
GRAMPIAN CORINTHIAN,[235079382],['FRASERBURGH']
COLORADO STAR,[248127000],['DK KAL']
LNG ROSENROT,[538008979],['NLRTM']
QUEEN MARY 2,[310627000],['NOSVG']
MARS 6,[352005360],['PORT SAID']
NM COPENHAGEN,[255915970],['ELBE PLT']
VB ENGLISHMAN,[235114458],['HARBOUR TOWAGE']
LION I,[352005346],['TALLINN']
HUNTER,[235118133],['']
VALLE LUNA,[247434700],['GI GIB']
BULKNES,[305425000],['GBNFT']
SEYCHELLES PROGRESS,[664296000],['DK ODE']
FV  BUDDING ROSE,[233661000],['CHANNEL 16 FOR INFO']
CELANDINE,[249436000],['BEZEE']
NORTHERN STORM,[232033527],['SURVEY']
EVER SMILE,[235010710],['BEANR']
ANNABEL L,[356847000],['ZHAN JIANG']
TASSOS,[636022764],['PORT SAID']
SKUA,[232006107],['HAWES PIER']
RED DIAMOND,[636014524],['MARTAS TURKEY']
WHITE ALLEGRA,[538010705],['ESHUV']
MSC JOSSELINE,[636019206],['GBLGP>ESLPA']
VALERIE,[244860000],['TO ORDER']
SOUTHAMPTON STAR,[311000776],['NLIJM']
GERARDA JOHANNA,[244013484],['']
FUGRO SEEKER,[235102539],['DUN LAORGHAIRE']
GRAMPIAN DON,[235090064],['ARMADA PLATFORM']
SILVERWELL,[232059195],['PORTLAND']
SKY STR,[255915834],['GBNPT']
HELENE MAERSK,[563096300],['GB LIV']
PUTFORD PRIDE,[235051726],['ROUGH GAS FIELD']
WAVERLEY,[232001540],['CLYDE CRUISE']
CHEM STAR 1,[255805586],['NLRTM > USSAV']
WILSON BRAKE,[314701000],['NL RTM > ES SCI']
NORTHERN VICTORIA,[219753000],['INVERGORDON']
WIGHT RYDER 2,[235069877],['RYDE/PORTSMOUTH']
NORTH PROMISE,[235056391],['ABERDEEN']
MSC CHLOE,[255805855],['NLRTM']
RMS CUXHAVEN,[636092996],['GBGOO']
FIERY CROSS,[235067451],['SUNDERLAND']
OTELLO,[209217000],['ROTTERDAM']
BIG RISE,[636023274],['PTLIS']
UK-124 LUUT SENIOR,[244921000],['FISHINGGROUNDS']
NR RIVAL,[232056807],['LOWESTOFT>EA1']
MINERVA ZEN,[241190000],['BRAZIL FOR ORDERS']
FRANCESCA_TO 80,[232004057],['FISHING WHELK POTS']
FS CRATHES,[210151000],['ABERDEEN ROADS']
MARSEILLE MAERSK,[219854000],['NLRTM > MYTPP']
HARVESTER_PD98,[235064434],['FISHING GROUNDS']
GLYVURSNES,[231887000],['FOTHO']
CARRAIG AONAIR,[250005899],['CAPE_FASTNET POB 107']
MARE,[314001093],['SUEZ / EG']
EUROCLYDON GY77,[232044597],['']
SERAPHINE,[229076000],['PTLEI']
WHITCHAMPION,[235009956],['NLRTM']
PRECISION,[249175000],['ZEEBRUGGE']
RUDOLF SCHULTE,[566179000],['GBIMM']
PEAK ANFIELD,[304111000],['GBAVO']
ZEUS,[304011025],['FOR ORDER']
GLEANN MOR PILOT,[250000688],['PILOT DUTIES']
NIKOLAY YEVGENOV,[311000631],['FOR ORDERS']
CRYSTAL RIVER FR 178,[232037338],['FRASERBURGH']
SVEN,[255804490],['GB_SHO']
RONJA STAR,[259170000],['FISHFARM']
KALLISTA HELEN,[232032780],['INVERGORDON']
DELIA,[304011029],['FRURO']
AVA SOFIE,[235101516],['GT YARMOUTH<<=>>SSWF']
FEIJE,[235000164],['GBBWK']
F/V MARANELLO,[250004229],['CH 16 / CH 71']
CS STANDARD,[566041000],['NLRTM']
VB BENELUX,[232058017],['GBLIV']
CHAUMINE,[249240000],['BEZEE']
AMADEUS AQUAMARIJN,[244870674],['DORDECHT']
PELAGICA,[566222000],['NO SVG              ']
ZARONA B58,[235087354],['PORTAVOGIE']
AQUA RAY,[636022952],['ROUEN ANCHORAGE']
MYKINES,[231002000],['ISTHH']
RIDENS,[228459600],['SAR OPERATION']
WILSON BAERL,[314605000],['GBBEL']
GV SHALANNA BF843,[235002500],['FISHING GROUND']
CAPE CITIUS,[210070000],['USNWK']
GLOVIS STELLA,[440257000],['BEANR']
IRAKLIS Z,[241870000],['NOSOV-TOWING ASTERN']
VOS SEEKER,[235068568],['FORTIES']
CLAIRE MARIE BF101,[235001340],['FISHING GROUNDS']
V UNO,[256408000],['GBLIV']
EDT PROTEA,[209255000],['LIVERPOOL [UK]']
AMUESA,[255802640],['NL RTM']
RNLI LIFEBOAT 16-07,[235030385],['CROMER']
MINERVA NOUNOU,[248884000],['DK SKA']
MSC LAUSANNE VI,[636023801],['BEANR>PTSIE']
BG DIAMOND,[212637000],['GRANGEMOUTH']
SARA BORCHARD,[255805686],['PTLEI']
SEAEXPRESS,[229353000],['NLRTM']
CITY OF WESTMINSTER,[232000790],['GBCHN']
TARIFA,[309847000],['CN SGH']
KERLI,[305468000],['DEBKE']
ANTEOS,[244120000],['UKFAL']
ATLAS  WY170,[235001670],['VIKING OVERTRAWL']
SUMIRE LEADER,[636022335],['BE ANR']
SUNNY MARK,[354717000],['DK EBJ']
RNLI LIFEBOAT 16 10,[235050566],['BALTIMORE']
PHOENIX CROSS,[235067452],['TEES']
INDI,[255805951],['UNKNOWN']
KATRE,[305666000],['ES BIO']
NEPTUNE DYNAMIS,[215188000],['ESSDR']
MARTEN,[305057000],['GBGSY']
GUILLAUMEDENORMANDIE,[228457600],['GB PME']
FUGRO GALAXY,[311049200],['PETERHEAD']
MALBEC LEGACY,[538006543],['GALVESTON US']
GRAEMSAY,[235019173],['STROMNESS']
THISTLE,[232312911],['HARWICH']
FAROMAR,[253377000],['BREST']
MADRE ANTONIA,[352003662],['ES CAR']
SMACK,[227035360],['LE HAVRE']
RNLI LIFEBOAT 16-06,[235030386],['POOLE']
BEAUTRADER,[246232000],['GB HUL']
MSC JERSEY,[255805956],['BEANR']
PIRATE QUEEN,[250073000],['TURK>ROONAGH>TURK']
ELSA ESSBERGER,[255805470],['NLRTM>FRLEH']
SD BOUNTIFUL,[235072757],['PORTSMOUTH']
STELLAR RIONI,[636021502],['GBSHS']
YUAN HAI,[352005718],['FR DKK']
PARTHENON TS,[249948000],['MTMLA>PLGDN']
SVITZER KENT,[235113125],['ALBERT DOCK HULL']
ALISON KAY,[235001420],['LERWICK']
SD IMPETUS,[232001490],['FASLANE']
HELLIAR,[235087119],['ABERDEEN']
VENTO,[255804240],['ESBIO']
WILHELMSHAVEN EXPRES,[211151710],['WILHELMSHAVEN']
ELENA L,[212702000],['TOORDER']
